CNT,CPI score 2019,FH score 2019
Denmark,87,97
New Zealand,87,97
Finland,86,100
Singapore,85,50
Sweden,85,100
Switzerland,85,96
Norway,84,100
Netherlands,82,99
Germany,80,94
Luxembourg,80,98
Iceland,78,94
Australia,77,97
Austria,77,93
Canada,77,98
United Kingdom,77,94
Hong Kong,76,55
Belgium,75,96
Estonia,74,94
Ireland,74,97
Japan,73,96
United Arab Emirates,71,17
Uruguay,71,98
France,69,90
United States of America,69,86
Bhutan,68,58
Chile,67,90
Seychelles,66,72
Taiwan,65,93
Bahamas,64,91
Barbados,62,95
Portugal,62,96
Qatar,62,25
Spain,62,92
Botswana,61,72
Brunei Darussalam,60,28
Israel,60,76
Lithuania,60,91
Slovenia,60,94
"Korea, South",59,83
Cabo Verde,58,92
Cyprus,58,94
Poland,58,84
Costa Rica,56,91
Czech Republic,56,91
Georgia,56,61
Latvia,56,89
Dominica,55,93
Malta,54,90
Grenada,53,89
Italy,53,89
Malaysia,53,52
Rwanda,53,22
Saudi Arabia,53,7
Mauritius,52,89
Namibia,52,77
Oman,52,23
Slovakia,50,88
Cuba,48,14
Greece,48,88
Jordan,48,37
Croatia,47,85
Sao Tome and Principe,46,84
Vanuatu,46,82
Argentina,45,85
Belarus,45,19
Montenegro,45,62
Senegal,45,71
Hungary,44,70
Romania,44,83
South Africa,44,79
Suriname,44,75
Bulgaria,43,80
Jamaica,43,78
Tunisia,43,70
Armenia,42,53
Bahrain,42,11
Solomon Islands,42,79
Benin,41,66
China,41,10
Ghana,41,82
India,41,71
Morocco,41,37
Burkina Faso,40,56
Guyana,40,74
Indonesia,40,61
Kuwait,40,36
Lesotho,40,63
Trinidad and Tobago,40,82
Serbia,39,66
Turkey,39,32
Ecuador,38,65
Sri Lanka,38,55
Timor-Leste,38,71
Colombia,37,66
Ethiopia,37,24
Gambia,37,46
Tanzania,37,40
Vietnam,37,20
Bosnia and Herzegovina,36,53
Kosovo,36,56
Panama,36,84
Peru,36,72
Thailand,36,32
Albania,35,67
Algeria,35,34
Brazil,35,75
Cote d'Ivoire,35,51
Egypt,35,21
North Macedonia,35,63
Mongolia,35,84
El Salvador,34,66
Kazakhstan,34,23
Nepal,34,56
Philippines,34,59
Eswatini,34,19
Zambia,34,54
Sierra Leone,33,65
Moldova,32,60
Niger,32,48
Pakistan,32,38
Bolivia,31,63
Gabon,31,22
Malawi,31,62
Azerbaijan,30,10
Djibouti,30,24
Kyrgyzstan,30,38
Ukraine,30,62
Guinea,29,40
Laos,29,14
Maldives,29,40
Mali,29,41
Mexico,29,62
Myanmar,29,30
Togo,29,44
Dominican Republic,28,67
Kenya,28,48
Lebanon,28,44
Liberia,28,60
Mauritania,28,34
Papua New Guinea,28,62
Paraguay,28,65
Russia,28,20
Uganda,28,34
Angola,26,32
Bangladesh,26,39
Guatemala,26,52
Honduras,26,45
Iran,26,17
Mozambique,26,45
Nigeria,26,47
Cameroon,25,18
Central African Republic,25,10
Comoros,25,44
Tajikistan,25,9
Uzbekistan,25,10
Madagascar,24,61
Zimbabwe,24,29
Eritrea,23,2
Nicaragua,22,31
Cambodia,20,25
Chad,20,17
Iraq,20,31
Burundi,19,13
Congo,19,20
Turkmenistan,19,2
Democratic Republic of the Congo,18,18
Guinea Bissau,18,46
Haiti,18,38
Libya,18,9
"Korea, North",17,3
Afghanistan,16,27
Equatorial Guinea,16,6
Sudan,16,12
Venezuela,16,16
Yemen,15,11
Syria,13,0
South Sudan,12,-2
Somalia,9,7
