id,Expenditure,N
1,Bread.and.Cereals.Expenditure,42140
1,Total.Rice.Expenditure,38300
1,Meat.Expenditure,24676
1,Total.Fish.and..marine.products.Expenditure,16806
1,Fruit.Expenditure,3325
1,Vegetables.Expenditure,13460
2,Bread.and.Cereals.Expenditure,17329
2,Total.Rice.Expenditure,13008
2,Meat.Expenditure,17434
2,Total.Fish.and..marine.products.Expenditure,11073
2,Fruit.Expenditure,2035
2,Vegetables.Expenditure,7833
3,Bread.and.Cereals.Expenditure,34182
3,Total.Rice.Expenditure,32001
3,Meat.Expenditure,7783
3,Total.Fish.and..marine.products.Expenditure,2590
3,Fruit.Expenditure,1730
3,Vegetables.Expenditure,3795
4,Bread.and.Cereals.Expenditure,34030
4,Total.Rice.Expenditure,28659
4,Meat.Expenditure,10914
4,Total.Fish.and..marine.products.Expenditure,10812
4,Fruit.Expenditure,690
4,Vegetables.Expenditure,7887
5,Bread.and.Cereals.Expenditure,34820
5,Total.Rice.Expenditure,30167
5,Meat.Expenditure,18391
5,Total.Fish.and..marine.products.Expenditure,11309
5,Fruit.Expenditure,1395
5,Vegetables.Expenditure,11260
6,Bread.and.Cereals.Expenditure,29065
6,Total.Rice.Expenditure,25190
6,Meat.Expenditure,15336
6,Total.Fish.and..marine.products.Expenditure,8572
6,Fruit.Expenditure,2614
6,Vegetables.Expenditure,9035
7,Bread.and.Cereals.Expenditure,40992
7,Total.Rice.Expenditure,36312
7,Meat.Expenditure,12968
7,Total.Fish.and..marine.products.Expenditure,12310
7,Fruit.Expenditure,2565
7,Vegetables.Expenditure,15620
8,Bread.and.Cereals.Expenditure,37168
8,Total.Rice.Expenditure,28156
8,Meat.Expenditure,14640
8,Total.Fish.and..marine.products.Expenditure,15896
8,Fruit.Expenditure,3365
8,Vegetables.Expenditure,10520
9,Bread.and.Cereals.Expenditure,23117
9,Total.Rice.Expenditure,15845
9,Meat.Expenditure,11464
9,Total.Fish.and..marine.products.Expenditure,6685
9,Fruit.Expenditure,1370
9,Vegetables.Expenditure,5235
10,Bread.and.Cereals.Expenditure,56003
10,Total.Rice.Expenditure,43239
10,Meat.Expenditure,26488
10,Total.Fish.and..marine.products.Expenditure,25678
10,Fruit.Expenditure,3880
10,Vegetables.Expenditure,11360
11,Bread.and.Cereals.Expenditure,36588
11,Total.Rice.Expenditure,30167
11,Meat.Expenditure,11174
11,Total.Fish.and..marine.products.Expenditure,7674
11,Fruit.Expenditure,1709
11,Vegetables.Expenditure,7920
12,Bread.and.Cereals.Expenditure,46521
12,Total.Rice.Expenditure,39217
12,Meat.Expenditure,20548
12,Total.Fish.and..marine.products.Expenditure,15841
12,Fruit.Expenditure,1475
12,Vegetables.Expenditure,7565
13,Bread.and.Cereals.Expenditure,40531
13,Total.Rice.Expenditure,36200
13,Meat.Expenditure,14322
13,Total.Fish.and..marine.products.Expenditure,8344
13,Fruit.Expenditure,2200
13,Vegetables.Expenditure,6790
14,Bread.and.Cereals.Expenditure,26874
14,Total.Rice.Expenditure,23130
14,Meat.Expenditure,10034
14,Total.Fish.and..marine.products.Expenditure,6971
14,Fruit.Expenditure,2350
14,Vegetables.Expenditure,7770
15,Bread.and.Cereals.Expenditure,19668
15,Total.Rice.Expenditure,16142
15,Meat.Expenditure,5430
