"","year","violent","murder","robbery","prisoners","state"
"1",1977,414.4,14.2,96.8,83,"Alabama"
"2",1978,419.1,13.3,99.1,94,"Alabama"
"3",1979,413.3,13.2,109.5,144,"Alabama"
"4",1980,448.5,13.2,132.1,141,"Alabama"
"5",1981,470.5,11.9,126.5,149,"Alabama"
"6",1982,447.7,10.6,112,183,"Alabama"
"7",1983,416,9.2,98.4,215,"Alabama"
"8",1984,431.2,9.4,96.1,243,"Alabama"
"9",1985,457.5,9.8,105.4,256,"Alabama"
"10",1986,558,10.1,111.6,267,"Alabama"
"11",1987,559.2,9.3,112.2,283,"Alabama"
"12",1988,558.6,9.9,117.8,307,"Alabama"
"13",1989,590.8,10.2,133.9,300,"Alabama"
"14",1990,708.6,11.6,143.7,328,"Alabama"
"15",1991,844.2,11.5,152.8,370,"Alabama"
"16",1992,871.7,11,164.9,394,"Alabama"
"17",1993,780.4,11.6,159.5,407,"Alabama"
"18",1994,683.7,11.9,171.2,431,"Alabama"
"19",1995,632.4,11.2,185.8,450,"Alabama"
"20",1996,565.4,10,167,471,"Alabama"
"21",1997,564.5,9.9,160.5,492,"Alabama"
"22",1998,512.1,8.1,130.9,500,"Alabama"
"23",1999,490.2,7.9,121.2,519,"Alabama"
"24",1977,443.2,10.8,96.8,63,"Alaska"
"25",1978,441.9,12.9,91.3,75,"Alaska"
"26",1979,491.1,13.3,109.6,127,"Alaska"
"27",1980,436,8.9,81.8,133,"Alaska"
"28",1981,615.8,14.6,114.6,143,"Alaska"
"29",1982,623.7,18.5,133.8,170,"Alaska"
"30",1983,613.8,13.8,97.1,194,"Alaska"
"31",1984,621.6,11.6,109.4,219,"Alaska"
"32",1985,581.8,9.8,92.9,252,"Alaska"
"33",1986,570.4,8.6,88,288,"Alaska"
"34",1987,455.4,10.1,73.1,306,"Alaska"
"35",1988,522.8,5.7,72.9,339,"Alaska"
"36",1989,497.7,8,67.6,355,"Alaska"
"37",1990,524.5,7.5,76.7,361,"Alaska"
"38",1991,613.9,7.4,113.2,348,"Alaska"
"39",1992,660.5,7.5,109,345,"Alaska"
"40",1993,760.8,9,122.4,327,"Alaska"
"41",1994,766.3,6.3,146.2,446,"Alaska"
"42",1995,770.9,9.1,155.1,317,"Alaska"
"43",1996,727.7,7.4,117,338,"Alaska"
"44",1997,701.1,8.9,106.4,383,"Alaska"
"45",1998,653.9,6.7,86.6,420,"Alaska"
"46",1999,631.5,8.6,91.4,413,"Alaska"
"47",1977,494.2,9.5,138.2,125,"Arizona"
"48",1978,552.1,9.4,162.9,129,"Arizona"
"49",1979,593,8.9,175.7,146,"Arizona"
"50",1980,650.9,10.3,193.6,139,"Arizona"
"51",1981,575.8,8.1,177.6,160,"Arizona"
"52",1982,517,8.3,158.6,184,"Arizona"
